Job,ClassJobLevel,Name,Description,Cast,Cooldown
AST,30,the Spire,"Creates a barrier around self or target party member that absorbs damage equivalent to a heal of 400 potency.
Duration: 30s

※This action cannot be assigned to a hotbar.
※Play III changes to The Spire when requirements for execution are met.",0.0,1.0
AST,30,the Spear,"Increases damage dealt by a party member or self by 6% if target is ranged DPS or healer, or 3% for all other roles.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play I changes to The Spear when requirements for execution are met.",0.0,1.0
AST,30,the Bole,"Reduces damage taken by a party member or self by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play II changes to The Bole when requirements for execution are met.",0.0,1.0
AST,30,the Ewer,"Grants healing over time effect to a party member or self.
Cure Potency: 200
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play III changes to The Ewer when requirements for execution are met.",0.0,1.0
AST,34,Aspected Benefic,"Restores target's HP.
Cure Potency: 250/200/
Additional Effect: Regen
Cure Potency: 250/200/
Duration: 15s",0.0,2.5
AST,40,Aspected Helios,"Restores own HP and the HP of all nearby party members.
Cure Potency: 250/200/
Additional Effect: Regen
Cure Potency: 150/100/
Duration: 15s",1.5,2.5
AST,45,Gravity,Deals unaspected damage with a potency of 120 to target and all enemies nearby it.,1.5,2.5
AST,46,Combust II,"Deals unaspected damage over time.
Potency: 60
Duration: 30s",0.0,2.5
AST,50,Synastry,"Generate an aetheric bond with target party member. Each time you cast a single-target healing spell on yourself or a party member, the party member with whom you have the bond will also recover HP equaling 40% of the original spell.
Duration: 20s",0.0,120.0
AST,50,Divination,"Increases damage dealt by self and nearby party members by 6%.
Duration: 20s/
Additional Effect: Grants Divining
Duration: 30s",0.0,120.0
AST,54,Malefic II,Deals unaspected damage with a potency of 160.,1.5,2.5
AST,58,Collective Unconscious,"Creates a celestial ring 8 yalms around the caster.
Duration: 18s
Additional Effect: Reduces damage taken by 10% for self and any party members within 30 yalms and applies Wheel of Fortune to self and any party members within 8 yalms
Duration: 5s
Wheel of Fortune Effect: Regen
Cure Potency: 100
Duration: 15s
Effects will be applied continuously to self and all party members standing within the celestial ring.
Collective Unconscious effect ends upon using another action or moving (including facing a different direction).
Cancels auto-attack upon execution.",0.0,60.0
AST,60,Celestial Opposition,"Restores own HP and the HP of all nearby party members.
Cure Potency: 200
Additional Effect: Regen
Cure Potency: 100
Duration: 15s",0.0,60.0
AST,62,Earthly Star,"Deploys an Earthly Star in the designated area and grants the effect of Earthly Dominance.
Duration: 10s
Executing Stellar Detonation while under the effect of Earthly Dominance creates a Stellar Burst dealing unaspected damage with a potency of 205 to all nearby enemies. Also restores own HP and the HP of all nearby party members.
Cure Potency: 540
After 10s, Earthly Dominance effect is changed to Giant Dominance.
Duration: 10s
Waiting 10s or executing Stellar Detonation while under the effect of Giant Dominance creates a Stellar Explosion dealing unaspected damage with a potency of 310 to all nearby enemies. Also restores own HP and the HP of all nearby party members.
Cure Potency: 720",0.0,60.0
AST,62,Stellar Detonation,"While under the effect of Earthly Dominance, detonates the currently deployed Earthly Star, creating a Stellar Burst that deals unaspected damage with a potency of 205 to all nearby enemies.
Additional Effect: Restores own HP and the HP of all nearby party members
Cure Potency: 540
While under the effect of Giant Dominance, detonates the currently deployed Earthly Star, creating a Stellar Explosion that deals unaspected damage with a potency of 310 to all nearby enemies.
Additional Effect: Restores own HP and the HP of all nearby party members
Cure Potency: 720",0.0,3.0
AST,64,Malefic III,Deals unaspected damage with a potency of 190.,1.5,2.5
AST,70,Lord of Crowns,"Deals unaspected damage with a potency of 400 to all nearby enemies.

※This action cannot be assigned to a hotbar.
※Minor Arcana changes to Lord of Crowns when requirements for execution are met.",0.0,1.0
AST,70,Lady of Crowns,"Restores own HP and the HP of all nearby party members.
Cure Potency: 400

※This action cannot be assigned to a hotbar.
※Minor Arcana changes to Lady of Crowns when requirements for execution are met.",0.0,1.0
AST,70,Minor Arcana,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to Lord of Crowns
Umbral Draw Effect: Action changes to Lady of Crowns",0.0,1.0
AST,72,Combust III,"Deals unaspected damage over time.
Potency: 70/65/
Duration: 30s",0.0,2.5
AST,72,Malefic IV,Deals unaspected damage with a potency of 230.,1.5,2.5
AST,74,Celestial Intersection,"Restores own or target party member's HP.
Cure Potency: 200
Additional Sect Effect: Erects a magicked barrier which nullifies damage equaling 200% of the amount of HP restored
Duration: 30s/
Maximum Charges: 2",0.0,30.0
AST,76,Horoscope,"Reads your fortune and those of nearby party members, granting them Horoscope.
Duration: 10s
Effect upgraded to Horoscope Helios upon receiving the effects of Helios or Helios Conjunction/Aspected Helios/Aspected Helios/.
Duration: 30s
Restores the HP of those under either effect when the cards are read a second time or the effect expires.
Horoscope Cure Potency: 200
Horoscope Helios Cure Potency: 400",0.0,60.0
AST,76,Horoscope,"Restores own HP and the HP of all nearby party members.
Potency is determined by the Horoscope effect of party members. Effect expires upon execution.
Horoscope Potency: 200
Horoscope Helios Potency: 400",0.0,1.0
AST,80,Neutral Sect,"Increases healing magic potency by 20%.
Duration: 20s
Additional Effect: When casting Aspected Benefic or Helios Conjunction/Aspected Helios/Aspected Helios/, erects a magicked barrier which nullifies damage
Aspected Benefic Effect: Nullifies damage equaling 250% of the amount of HP restored Helios Conjunction/Aspected Helios/Aspected Helios/ Effect: Nullifies damage equaling 125% of the amount of HP restored
Duration: 30s/
Additional Effect: Grants Suntouched
Duration: 30s",0.0,120.0
AST,82,Fall Malefic,Deals unaspected damage with a potency of 270/250/.,1.5,2.5
AST,82,Gravity II,Deals unaspected damage with a potency of 130 to target and all enemies nearby it.,1.5,2.5
AST,86,Exaltation,"Reduces damage taken by self or target party member by 10%.
Duration: 8s
Additional Effect: Restores HP at the end of the effect's duration
Cure Potency: 500",0.0,60.0
AST,90,Macrocosmos,"Deals unaspected damage to all nearby enemies with a potency of 250 for the first enemy, and 40% less for all remaining enemies.
Additional Effect: Grants Macrocosmos to self and all nearby party members
Duration: 15s
For the effect's duration, 50% of damage taken is compiled.
Restores HP equal to a cure of 200 potency plus compiled damage when the effect expires or upon execution of Microcosmos.
Amount restored cannot exceed the target's maximum HP.
Recast timer cannot be affected by status effects or gear attributes.",0.0,180.0
AST,90,Microcosmos,"Triggers the healing effect of Macrocosmos, restoring HP equal to a cure of 200 potency plus 50% of compiled damage.
Amount restored cannot exceed the target's maximum HP.",0.0,1.0
AST,92,Oracle,"Deals unaspected damage with a potency of 860 to target and all enemies nearby it.
Can only be executed while Divining.",0.0,1.0
AST,96,Helios Conjunction,"Restores own HP and the HP of all nearby party members.
Cure Potency: 250
Additional Effect: Regen
Cure Potency: 175
Duration: 15s",1.5,2.5
AST,100,Sun Sign,"Reduces damage taken by self and nearby party members by 10%.
Duration: 15s
Can only be executed while Suntouched.",0.0,1.0
BLM,0,Foul,"Deals unaspected damage with a potency of 16,000 to target and all enemies nearby it.
Can only be executed while under the effect of Polyglot.

※This action cannot be assigned to a hotbar.",0.0,2.5
BLM,0,Fire,"Deals fire damage with a potency of 4,000.
Requires no cast time when cast under the effect of Umbral Ice.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Additional Effect: Grants Astral Fire II
Duration: 30s
Effect cannot be stacked with Umbral Ice.

※Action changes to Fire IV while under the effect of Astral Fire II.",1.5,2.5
BLM,0,Fire IV,"Deals fire damage with a potency of 6,000.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Additional Effect: Grants Astral Fire III
Duration: 30s
Effect cannot be stacked with Umbral Ice.
Can only be executed while under the effect of Astral Fire II.

※Action changes to Flare while under the effect of Astral Fire III.
※This action cannot be assigned to a hotbar.",1.5,2.5
BLM,0,Flare,"Deals fire damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Can only be executed while under the effect of Astral Fire III.
Astral Fire III effect expires upon execution.

※This action cannot be assigned to a hotbar.",1.5,2.5
BLM,0,Flare,"Deals fire damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Can only be executed while under the effect of Soul Resonance.

※This action cannot be assigned to a hotbar.",0.0,2.5
BLM,0,Blizzard,"Deals ice damage with a potency of 4,000.
Requires no cast time when cast under the effect of Astral Fire.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Additional Effect: Grants Umbral Ice II
Duration: 30s
Effect cannot be stacked with Astral Fire.

※Action changes to Blizzard IV while under the effect of Umbral Ice II.",1.5,2.5
BLM,0,Blizzard IV,"Deals ice damage with a potency of 6,000.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Additional Effect: Grants Umbral Ice III
Duration: 30s
Effect cannot be stacked with Astral Fire.
Can only be executed while under the effect of Umbral Ice II.

※Action changes to Freeze while under the effect of Umbral Ice III.
※This action cannot be assigned to a hotbar.",1.5,2.5
BLM,0,Freeze,"Deals ice damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Can only be executed while under the effect of Umbral Ice III.
Umbral Ice III effect expires upon execution.

※This action cannot be assigned to a hotbar.",1.5,2.5
BLM,0,Freeze,"Deals ice damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Can only be executed while under the effect of Soul Resonance.

※This action cannot be assigned to a hotbar.",0.0,2.5
BLM,0,Burst,"Deals lightning damage to all nearby enemies with a potency of 16,000.
Additional Effect: Creates a barrier around self that absorbs damage equivalent to a heal of 16,000 potency
Duration: 10s
This action does not share a recast timer with any other actions.",2.0,20.0
BLM,0,Night Wing,"Afflicts target and all enemies nearby it with Half-asleep.
Duration: 3s
Half-asleep Effect: Targets succumb to Sleep when effect expires
Duration: 3s
Targets struck while under the effect of Sleep will take additional damage with a potency of 8,000, and effect will dissipate.",0.0,30.0
BLM,0,Aetherial Manipulation,"Rush to a targeted enemy's or party member's location.
Additional Effect: Grants Swiftcast
Swiftcast Effect: Next spell can be cast immediately
Duration: 10s
Maximum Charges: 2
Cannot be executed while bound.",0.0,10.0
BLM,0,Superflare,"Deals damage to nearby enemies with a potency of 3,000 up to a maximum of 9,000 for every stack of Astral Warmth or Umbral Freeze they have accumulated.
Additional Effect: Enemies under the effect of Astral Warmth are afflicted with Burns, dealing fire damage over time
Potency: 3,000
Duration: 6s
Duration increases by 3s for each additional stack of Astral Warmth, up to a maximum of 12s.
Additional Effect: Enemies under the effect of Umbral Freeze are afflicted with a status ailment commensurate with the number of stacks accumulated
1 Stack: Heavy
2 Stacks: Bind
3 Stacks: Deep Freeze
Duration: 2s
Maximum Charges: 2",0.0,15.0
BLM,0,Soul Resonance,"Grants 6 stacks of Soul Resonance, upgrading Fire to Flare and Blizzard to Freeze.
Duration: 30s
Additional Effect: Grants Polyglot and Apocatastasis
Polyglot Effect: Action changes to Foul
Duration: 60s
Apocatastasis Effect: Reduces damage taken by 10%
Duration: 15s
Additional Effect: Reduces the recast time of Superflare by 15 seconds
Can only be executed when the limit gauge is full.
Gauge Charge Time: 60s",0.0,10.0
BLM,0,Paradox,"Deals unaspected damage with a potency of 8,000.
Additional Effect: Increases target's stacks of Astral Warmth or Umbral Freeze to maximum
Duration: 15s
This action does not share a recast timer with any other actions.",0.0,15.0
BLM,1,Blizzard,"Deals ice damage with a potency of 180.
Additional Effect: Grants Umbral Ice or removes Astral Fire
Duration: 15s",2.5,2.5
BLM,2,Fire,"Deals fire damage with a potency of 180.
Additional Effect: Grants Astral Fire or removes Umbral Ice
Duration: 15s Additional Effect: 40% chance to grant Firestarter
Firestarter Effect: Next Fire III will cost no MP and have no cast time
Duration: 30s/Additional Effect: 40% chance to grant Firestarter
Firestarter Effect: Next Fire III will cost no MP and have no cast time
Duration: 30s",2.5,2.5
BLM,4,Transpose,"Swaps Astral Fire with a single Umbral Ice, or Umbral Ice with a single Astral Fire.",0.0,5.0
BLM,6,Thunder,"Deals lightning damage with a potency of 120.
Additional Effect: Lightning damage over time
Potency: 40
Duration: 24s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
BLM,12,Blizzard II,"Deals ice damage with a potency of 80 to target and all enemies nearby it.
Additional Effect: Grants Umbral Ice III and/Grants Umbral Ice III and/Grants Umbral Ice or/Grants Umbral Ice or/ removes Astral Fire
Duration: 15s",3.0,2.5
BLM,15,Scathe,"Deals unaspected damage with a potency of 100.
Additional Effect: 20% chance potency will double",0.0,2.5
BLM,18,Fire II,"Deals fire damage with a potency of 80 to target and all enemies nearby it.
Additional Effect: Grants Astral Fire III and removes Umbral Ice/Grants Astral Fire III and removes Umbral Ice/Grants Astral Fire or removes Umbral Ice/Grants Astral Fire or removes Umbral Ice/
Duration: 15s",3.0,2.5
BLM,26,Thunder II,"Deals lightning damage with a potency of 60 to target and all enemies nearby it.
Additional Effect: Lightning damage over time
Potency: 30
Duration: 18s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
BLM,30,Manaward,"Creates a barrier that nullifies damage totaling up to 30% of maximum HP.
Duration: 20s",0.0,120.0
BLM,30,Manafont,"Fully restores MP.
Additional Effect: Grants Astral Fire III
Duration: 15s
Additional Effect: Grants Thunderhead
Duration: 30s Additional Effect: Grants 3 Umbral Hearts
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells Additional Effect: Grants Paradox Can only be executed while under the effect of Astral Fire.",0.0,120.0
BLM,35,Fire III,"Deals fire damage with a potency of 280.
Additional Effect: Grants Astral Fire III and removes Umbral Ice
Duration: 15s",3.5,2.5
BLM,35,Blizzard III,"Deals ice damage with a potency of 280.
Additional Effect: Grants Umbral Ice III and removes Astral Fire
Duration: 15s",3.5,2.5
BLM,40,Freeze,"Deals ice damage with a potency of 120 to target and all enemies nearby it. Additional Effect: Grants 3 Umbral Hearts
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells and reduces MP cost for Flare by one-third Can only be executed while under the effect of Umbral Ice.",2.8,2.5
BLM,45,Thunder III,"Deals lightning damage with a potency of 160.
Additional Effect: Lightning damage over time
Potency: 45
Duration: 27s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
BLM,50,Aetherial Manipulation,"Rush to a target party member's side.
Unable to cast if bound.",0.0,10.0
BLM,50,Flare,"Deals fire damage to target and all enemies nearby it with a potency of 240 for the first enemy, and 40% less for all remaining enemies.
Additional Effect: Grants Astral Fire III
Duration: 15s Additional Effect: Grants 3 stacks of Astral Soul
Effect ends when Astral Fire expires. Can only be executed while under the effect of Astral Fire.",4.0,2.5
BLM,52,Ley Lines,"Connects naturally occurring ley lines to create a circle of power which, while standing within it, reduces spell cast time and recast time, and auto-attack delay by 15%.
Duration: 30s",0.0,120.0
BLM,58,Blizzard IV,"Deals ice damage with a potency of 310.
Additional Effect: Grants 3 Umbral Hearts
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells and reduces MP cost for Flare by one-third
Can only be executed while under the effect of Umbral Ice.",2.5,2.5
BLM,60,Fire IV,"Deals fire damage with a potency of 310. Additional Effect: Grants Astral Soul
Effect ends when Astral Fire expires. Can only be executed while under the effect of Astral Fire.",2.8,2.5
BLM,62,Between the Lines,"Move instantly to Ley Lines drawn by you.
Cannot be executed while bound.",0.0,3.0
BLM,64,Thunder IV,"Deals lightning damage with a potency of 80 to target and all enemies nearby it.
Additional Effect: Lightning damage over time
Potency: 35
Duration: 21s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
BLM,66,Triplecast,"The next three spells will require no cast time.
Duration: 15s
Maximum Charges: 2",0.0,60.0
BLM,70,Foul,"Deals unaspected damage to target and all enemies nearby it with a potency of 600 for the first enemy, and 60% less for all remaining enemies.
Polyglot Cost: 1",2.5,2.5
BLM,72,Despair,"Deals fire damage with a potency of 340.
Additional Effect: Grants Astral Fire III
Duration: 15s
Can only be executed while under the effect of Astral Fire.",3.0,2.5
BLM,76,Umbral Soul,"Grants Umbral Ice and 1 Umbral Heart.
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells and reduces MP cost for Flare by one-third
Additional Effect: Restores an amount of MP commensurate with your stacks of Umbral Ice
Umbral Ice I: 2,500 MP
Umbral Ice II: 5,000 MP
Umbral Ice III: 10,000 MP
Can only be executed while under the effect of Umbral Ice.",0.0,2.5
BLM,80,Xenoglossy,"Deals unaspected damage with a potency of 880.
Polyglot Cost: 1",0.0,2.5
BLM,82,High Fire II,"Deals fire damage with a potency of 100 to target and all enemies nearby it.
Additional Effect: Grants Astral Fire III and removes Umbral Ice
Duration: 15s",3.0,2.5
BLM,82,High Blizzard II,"Deals ice damage with a potency of 100 to target and all enemies nearby it.
Additional Effect: Grants Umbral Ice III and removes Astral Fire
Duration: 15s",3.0,2.5
BLM,86,Amplifier,"Grants Polyglot.
Can only be executed while under the effect of Astral Fire or Umbral Ice.",0.0,120.0
BLM,90,Paradox,"Deals unaspected damage with a potency of 500.
Additional Effect: Grants Astral Fire
Duration: 15s
Additional Effect: Grants Firestarter
Firestarter Effect: Next Fire III will require no time to cast and cost no MP
Duration: 30s
Can only be executed while under the effect of Paradox.

※This action cannot be assigned to a hotbar.
※Fire changes to Paradox when requirements for execution are met.",0.0,2.5
BLM,92,High Thunder,"Deals lightning damage with a potency of 200.
Additional Effect: Lightning damage over time
Potency: 55
Duration: 30s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
BLM,92,High Thunder II,"Deals lightning damage with a potency of 100 to target and all enemies nearby it.
Additional Effect: Lightning damage over time
Potency: 40
Duration: 24s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
BLM,96,Retrace,"Weave ley lines anew, setting your circle of power at a new location.
Can only be executed while under the effect of Ley Lines.",0.0,40.0
BLM,100,Flare Star,"Deals fire damage to target and all enemies nearby it with a potency of 400 for the first enemy, and 65% less for all remaining enemies.
Can only be executed when the Astral Gauge is full.",3.0,2.5
BLU,1,Snort,Deals a 20-yalm knockback to all enemies in a cone before you.,2.0,2.5
BLU,1,4-tonze Weight,"Drops a 4-tonze weight dealing physical damage at a designated location with a potency of 200 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Heavy +40%
Duration: 30s",2.0,2.5
BLU,1,Water Cannon,Deals water damage with a potency of 200.,2.0,2.5
BLU,1,Song of Torment,"Deals unaspected damage with a potency of 50.
Additional Effect: Unaspected damage over time
Potency: 50
Duration: 30s",2.0,2.5
BLU,1,High Voltage,"Deals lightning damage to all nearby enemies with a potency of 180 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Paralysis
Duration: 15s
Additional Effect: Potency increased to 220 when target is afflicted with Dropsy
Additional Effect: Duration of Paralysis is increased to 30 seconds when target is afflicted with Dropsy",2.0,2.5
BLU,1,Bad Breath,"Blow noxious breath on all enemies in a cone before you, inflicting Slow +20%, Heavy +40%, Blind, and Paralysis.
Additional Effect: Poison
Potency: 20
Additional Effect: Damage dealt reduced 10%
Duration: 15s
Additional Effect: Interrupts target",2.0,2.5
BLU,1,Flying Frenzy,"Delivers a jumping physical attack to target and all enemies nearby it with a potency of 150 for the first enemy, and 50% less for all remaining enemies.
Cannot be executed while bound.",1.0,2.5
BLU,1,Aqua Breath,"Deals water damage to all enemies in a cone before you with a potency of 140 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Inflicts Dropsy, dealing water damage over time
Potency: 20
Duration: 12s",2.0,2.5
BLU,1,Plaincracker,"Deals earth damage to all nearby enemies with a potency of 220 for the first enemy, and 50% less for all remaining enemies.",2.0,2.5
BLU,1,Acorn Bomb,"Puts target and all enemies nearby it to sleep.
Duration: 30s
Cancels auto-attack upon execution.",2.0,2.5
BLU,1,Bristle,"Increases the potency of the next spell cast by 50%.
Duration: 30s
Effect cannot be stacked with Harmonized.",1.0,2.5
BLU,1,Mind Blast,"Deals unaspected damage to all nearby enemies with a potency of 200 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Paralysis
Duration: 30s",1.0,2.5
BLU,1,Blood Drain,"Deals unaspected damage with a potency of 50.
Additional Effect: Restores MP",2.0,2.5
BLU,1,Bomb Toss,"Deals fire damage at a designated location with a potency of 200 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Stun
Duration: 3s",2.0,2.5
BLU,1,1000 Needles,"Deals a fixed 1,000 points of physical damage which is shared by all enemies around you.",6.0,2.5
BLU,1,Drill Cannons,"Deals physical damage to all enemies in a straight line before you with a potency of 200 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Potency is increased to 600 when target is afflicted with Petrification. The Petrification effect is also removed.",2.0,2.5
