Index,Name,ActionCategory,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Range,PrimaryCost{Type},PrimaryCost{Value},SecondaryCost{Type},SecondaryCost{Value},Action{Combo},PreservesCombo,Cast<100ms>,Recast<100ms>,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,Status{GainSelf},ClassJobCategory,,AffectsPosition,Omen,IsPlayerAction
15,Riot Blade,3,1,0,4,FALSE,-1,0,0,0,0,9,FALSE,0,25,58,0,0,-1,7,0,0,38,FALSE,FALSE,0,TRUE
16,Shield Bash,3,1,0,10,FALSE,-1,0,0,39,0,0,FALSE,0,25,58,0,0,-1,7,0,0,38,FALSE,FALSE,0,TRUE
17,Sentinel,4,1,0,38,FALSE,0,0,0,63,564,0,TRUE,0,1200,20,0,0,0,0,0,0,38,FALSE,FALSE,0,TRUE
18,Provoke,4,-1,0,0,FALSE,25,0,0,0,0,0,TRUE,0,150,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
19,Tempered Will,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1800,11,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
20,Fight or Flight,4,1,0,2,FALSE,0,0,0,0,0,0,TRUE,0,600,11,0,0,0,0,0,0,38,FALSE,FALSE,0,TRUE
21,Rage of Halone,3,1,0,26,FALSE,-1,0,0,63,260,15,FALSE,0,25,58,0,0,-1,7,0,0,38,FALSE,FALSE,0,TRUE
22,Bulwark,4,19,0,52,FALSE,0,0,0,39,0,0,TRUE,0,900,16,0,0,0,0,0,0,20,FALSE,FALSE,0,TRUE
23,Circle of Scorn,4,1,0,50,FALSE,0,0,0,0,0,0,TRUE,0,300,7,0,0,-1,7,0,0,38,FALSE,FALSE,0,TRUE
24,Shield Lob,3,1,0,15,FALSE,20,0,0,39,0,0,TRUE,0,25,58,0,0,-1,7,0,0,38,FALSE,FALSE,0,TRUE
25,Shield Swipe,4,-1,0,0,FALSE,-1,0,0,2,0,0,TRUE,0,150,15,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
26,Sword Oath,2,-1,0,0,FALSE,0,3,10,0,0,0,TRUE,0,25,58,0,0,0,0,0,381,0,TRUE,FALSE,0,FALSE
27,Cover,4,19,0,45,FALSE,10,41,50,0,0,0,TRUE,0,1200,21,0,0,0,0,0,0,20,FALSE,FALSE,0,TRUE
28,Iron Will,4,1,0,10,FALSE,0,0,0,0,0,0,TRUE,0,20,1,0,0,0,0,0,0,38,FALSE,FALSE,0,TRUE
29,Spirits Within,4,19,0,30,FALSE,-1,0,0,63,415,0,TRUE,0,300,8,0,0,-1,7,0,0,20,FALSE,FALSE,0,TRUE
30,Hallowed Ground,4,19,0,50,FALSE,0,0,0,0,0,0,TRUE,0,4200,25,0,0,0,0,0,0,20,FALSE,FALSE,0,TRUE
31,Heavy Swing,3,3,0,1,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,44,FALSE,FALSE,0,TRUE
32,Foresight,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
33,Fracture,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
34,Bloodbath,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,900,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
35,Skull Sunder,3,-1,0,0,FALSE,-1,0,0,0,0,31,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
36,Mercy Stroke,4,-1,0,0,FALSE,-1,0,0,6,0,0,TRUE,0,900,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
37,Maim,3,3,0,4,FALSE,-1,0,0,0,0,31,FALSE,0,25,58,0,0,-1,7,0,0,44,FALSE,FALSE,0,TRUE
38,Berserk,4,3,0,6,FALSE,0,0,0,63,218,0,TRUE,0,600,11,0,0,0,0,0,0,44,FALSE,FALSE,0,TRUE
39,Brutal Swing,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,200,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
40,Thrill of Battle,4,3,0,30,FALSE,0,0,0,0,0,0,TRUE,0,900,16,0,0,0,0,0,0,44,FALSE,FALSE,0,TRUE
41,Overpower,3,3,0,10,FALSE,0,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,44,FALSE,FALSE,0,TRUE
42,Storm's Path,3,3,0,26,FALSE,-1,0,0,0,0,37,FALSE,0,25,58,0,0,-1,7,0,0,44,FALSE,FALSE,0,TRUE
43,Holmgang,4,3,0,42,FALSE,6,0,0,0,0,0,TRUE,0,2400,25,0,0,0,0,0,0,44,FALSE,FALSE,0,TRUE
44,Vengeance,4,3,0,38,FALSE,0,0,0,63,567,0,TRUE,0,1200,22,0,0,0,0,0,0,44,FALSE,FALSE,0,TRUE
45,Storm's Eye,3,3,0,50,FALSE,-1,0,0,0,0,37,FALSE,0,25,58,0,0,-1,7,0,0,44,FALSE,FALSE,0,TRUE
46,Tomahawk,3,3,0,15,FALSE,20,0,0,0,0,0,TRUE,0,25,58,0,0,-1,7,0,0,44,FALSE,FALSE,0,TRUE
47,Butcher's Block,3,-1,0,0,FALSE,-1,0,0,0,0,35,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
48,Defiance,4,3,0,10,FALSE,0,0,0,0,0,0,TRUE,0,20,2,0,0,0,0,0,0,44,FALSE,FALSE,0,TRUE
49,Inner Beast,3,21,0,35,FALSE,-1,22,50,63,265,0,TRUE,0,25,58,0,0,-1,7,0,0,22,FALSE,FALSE,0,TRUE
50,Unchained,4,-1,0,0,FALSE,0,0,0,32,91,0,TRUE,0,900,8,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
51,Steel Cyclone,3,21,0,45,FALSE,0,22,50,63,266,0,TRUE,0,25,58,0,0,-1,7,0,0,22,FALSE,FALSE,0,TRUE
52,Infuriate,4,21,0,50,FALSE,0,0,0,42,0,0,TRUE,0,600,20,71,2,0,0,0,0,22,FALSE,FALSE,0,TRUE
53,Bootshine,3,2,0,1,FALSE,-1,101,577,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
54,True Strike,3,2,0,4,FALSE,-1,101,577,32,108,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
55,Featherfoot,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,900,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
56,Snap Punch,3,2,0,6,FALSE,-1,101,577,32,109,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
57,Second Wind,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
58,Haymaker,3,-1,0,0,FALSE,-1,0,0,4,0,0,TRUE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
59,Internal Release,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,600,5,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
60,Fists of Earth,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,30,2,0,0,0,0,0,104,0,FALSE,FALSE,0,FALSE
61,Twin Snakes,3,2,0,18,FALSE,-1,0,0,32,108,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
62,Arm of the Destroyer,3,2,0,26,FALSE,0,0,0,63,430,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
63,Fists of Fire,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,30,2,0,0,0,0,0,103,0,FALSE,FALSE,0,FALSE
64,Steel Peak,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,400,4,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
65,Mantra,4,2,0,42,FALSE,0,0,0,0,0,0,TRUE,0,900,16,0,0,0,0,0,0,41,FALSE,FALSE,0,TRUE
66,Demolish,3,2,0,30,FALSE,-1,0,0,32,109,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
67,Howling Fist,4,-1,0,0,FALSE,10,0,0,0,0,0,TRUE,0,600,6,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
68,Touch of Death,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
69,Perfect Balance,4,20,0,50,FALSE,0,0,0,132,0,0,TRUE,0,400,14,71,2,0,0,0,0,21,FALSE,FALSE,0,TRUE
70,Rockbreaker,3,20,0,30,FALSE,0,0,0,32,109,0,FALSE,0,25,58,0,0,-1,7,0,0,21,FALSE,FALSE,0,TRUE
71,Shoulder Tackle,4,-1,1,0,FALSE,20,0,0,0,0,0,TRUE,0,300,9,71,1,-1,7,0,0,0,FALSE,TRUE,0,FALSE
72,One Ilm Punch,3,-1,0,0,FALSE,-1,0,0,32,108,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
73,Fists of Wind,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,30,2,0,0,0,0,0,105,0,FALSE,FALSE,0,FALSE
74,Dragon Kick,3,2,0,50,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,41,FALSE,FALSE,0,TRUE
75,True Thrust,3,4,0,1,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,47,FALSE,FALSE,0,TRUE
76,Feint,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
77,Keen Flurry,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,900,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
78,Vorpal Thrust,3,4,0,4,FALSE,-1,0,0,63,582,75,FALSE,0,25,58,0,0,-1,7,0,0,47,FALSE,FALSE,0,TRUE
79,Heavy Thrust,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
80,Invigorate,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
81,Impulse Drive,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
82,Leg Sweep,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,300,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
83,Life Surge,4,4,0,6,FALSE,0,0,0,0,0,0,TRUE,0,400,15,71,1,0,0,0,0,47,FALSE,FALSE,0,TRUE
84,Full Thrust,3,4,0,26,FALSE,-1,0,0,63,437,78,FALSE,0,25,58,0,0,-1,7,0,0,47,FALSE,FALSE,0,TRUE
85,Lance Charge,4,4,0,30,FALSE,0,0,0,0,0,0,TRUE,0,600,10,0,0,0,0,0,0,47,FALSE,FALSE,0,TRUE
86,Doom Spike,3,22,0,40,FALSE,10,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,23,FALSE,FALSE,0,TRUE
87,Disembowel,3,4,0,18,FALSE,-1,0,0,63,582,75,FALSE,0,25,58,0,0,-1,7,0,0,47,FALSE,FALSE,0,TRUE
88,Chaos Thrust,3,4,0,50,FALSE,-1,0,0,63,437,87,FALSE,0,25,58,0,0,-1,7,0,0,47,FALSE,FALSE,0,TRUE
89,Ring of Thorns,3,-1,0,0,FALSE,0,0,0,0,0,79,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
90,Piercing Talon,3,4,0,15,FALSE,20,0,0,0,0,0,TRUE,0,25,58,0,0,-1,7,0,0,47,FALSE,FALSE,0,TRUE
91,Phlebotomize,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
92,Jump,4,22,0,30,FALSE,20,0,0,63,275,0,TRUE,0,300,8,0,0,-1,7,0,0,23,FALSE,FALSE,0,TRUE
93,Power Surge,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,600,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
94,Elusive Jump,4,22,4,35,FALSE,0,0,0,0,0,0,TRUE,0,300,6,0,0,0,0,0,0,23,FALSE,TRUE,0,TRUE
95,Spineshatter Dive,4,-1,1,0,FALSE,20,0,0,0,0,0,TRUE,0,600,20,72,1,-1,7,0,0,0,FALSE,TRUE,0,FALSE
96,Dragonfire Dive,4,22,1,50,FALSE,20,0,0,0,0,0,TRUE,0,1200,21,0,0,-1,1,0,0,23,FALSE,TRUE,0,TRUE
97,Heavy Shot,3,5,0,1,FALSE,-1,0,0,63,285,0,FALSE,0,25,58,0,0,-1,7,0,0,50,FALSE,FALSE,0,TRUE
98,Straight Shot,3,5,0,2,FALSE,-1,102,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,50,FALSE,FALSE,0,TRUE
99,Hawk's Eye,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,900,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
100,Venomous Bite,3,5,0,6,FALSE,-1,0,0,63,168,0,FALSE,0,25,58,0,0,-1,7,0,0,50,FALSE,FALSE,0,TRUE
101,Raging Strikes,4,5,0,4,FALSE,0,0,0,0,0,0,TRUE,0,1200,15,0,0,0,0,0,0,50,FALSE,FALSE,0,TRUE
102,Flaming Arrow,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,600,0,0,0,-1,1,0,0,0,FALSE,FALSE,0,FALSE
103,Misery's End,4,-1,0,0,FALSE,-1,0,0,6,0,0,TRUE,0,120,1,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
104,Quelling Strikes,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
105,Swiftsong,2,-1,0,0,FALSE,0,0,0,38,0,0,FALSE,10,25,58,0,0,5,3,0,133,0,TRUE,FALSE,0,FALSE
106,Quick Nock,3,5,0,18,FALSE,12,0,0,63,444,0,FALSE,0,25,58,0,0,-1,7,0,0,50,FALSE,FALSE,0,TRUE
107,Barrage,4,5,0,38,FALSE,0,0,0,0,0,0,TRUE,0,1200,20,0,0,0,0,0,0,50,FALSE,FALSE,0,TRUE
108,Shadowbind,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,400,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
109,Blunt Arrow,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,300,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
110,Bloodletter,4,5,0,12,FALSE,-1,0,0,63,599,0,TRUE,0,150,10,71,2,-1,7,0,0,50,FALSE,FALSE,0,TRUE
111,Wide Volley,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
112,Repelling Shot,4,5,3,15,FALSE,15,0,0,0,0,0,FALSE,0,300,6,0,0,-1,7,0,0,50,FALSE,TRUE,0,TRUE
113,Windbite,3,5,0,30,FALSE,-1,0,0,63,168,0,FALSE,0,25,58,0,0,-1,3,0,0,50,FALSE,FALSE,0,TRUE
114,Mage's Ballad,4,23,0,30,FALSE,0,0,0,42,0,0,TRUE,0,1200,16,0,0,5,7,0,0,24,TRUE,FALSE,0,TRUE
115,Foe Requiem,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,15,25,58,0,0,5,3,0,139,0,TRUE,FALSE,0,FALSE
116,Army's Paeon,4,23,0,40,FALSE,0,0,0,42,0,0,TRUE,0,1200,17,0,0,5,7,0,0,24,TRUE,FALSE,0,TRUE
117,Rain of Death,4,23,0,45,FALSE,-1,0,0,0,0,0,FALSE,0,150,10,71,2,-1,7,0,0,24,FALSE,FALSE,0,TRUE
118,Battle Voice,4,23,0,50,FALSE,0,0,0,0,0,0,TRUE,0,1200,19,0,0,0,0,0,0,24,FALSE,FALSE,0,TRUE
119,Stone,2,6,0,1,FALSE,25,3,2,63,179,0,FALSE,15,25,58,0,0,5,4,0,0,53,TRUE,FALSE,0,TRUE
120,Cure,2,6,0,2,FALSE,30,3,4,0,0,0,FALSE,15,25,58,0,0,5,7,0,0,53,TRUE,FALSE,0,TRUE
121,Aero,2,6,0,4,FALSE,25,3,2,63,180,0,FALSE,0,25,58,0,0,5,3,0,0,53,TRUE,FALSE,0,TRUE
122,Cleric Stance,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,50,0,0,0,0,0,0,145,0,FALSE,FALSE,0,FALSE
123,Protect,2,-1,0,0,FALSE,30,3,10,0,0,0,FALSE,30,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
124,Medica,2,6,0,10,FALSE,0,3,9,0,0,0,FALSE,20,25,58,0,0,5,7,0,0,53,TRUE,FALSE,0,TRUE
125,Raise,2,6,0,12,FALSE,30,3,24,0,0,0,FALSE,80,25,58,0,0,5,7,0,0,53,TRUE,FALSE,0,TRUE
126,Esuna,2,-1,0,0,FALSE,30,3,7,0,0,0,FALSE,10,25,58,0,0,5,0,0,0,0,TRUE,FALSE,0,FALSE
127,Stone II,2,6,0,18,FALSE,25,3,2,63,181,0,FALSE,15,25,58,0,0,5,4,0,0,53,TRUE,FALSE,0,TRUE
128,Repose,2,-1,0,0,FALSE,30,3,8,0,0,0,FALSE,25,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
129,Stoneskin,2,-1,0,0,FALSE,30,3,10,0,0,0,FALSE,30,25,58,0,0,5,4,0,0,0,TRUE,FALSE,0,FALSE
130,Shroud of Saints,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
131,Cure III,2,24,0,40,FALSE,30,3,15,0,0,0,FALSE,20,25,58,0,0,5,7,0,0,25,TRUE,FALSE,0,TRUE
132,Aero II,2,6,0,46,FALSE,25,3,2,63,307,0,FALSE,0,25,58,0,0,5,3,0,0,53,TRUE,FALSE,0,TRUE
133,Medica II,2,6,0,50,FALSE,0,3,10,63,624,0,FALSE,20,25,58,0,0,5,7,0,0,53,TRUE,FALSE,0,TRUE
134,Fluid Aura,4,-1,0,15,FALSE,25,0,0,0,0,0,TRUE,0,300,9,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
135,Cure II,2,6,0,30,FALSE,30,3,10,0,0,0,FALSE,20,25,58,0,0,5,7,2,0,53,TRUE,FALSE,0,TRUE
136,Presence of Mind,4,24,0,30,FALSE,0,0,0,0,0,0,TRUE,0,1200,21,0,0,0,0,0,0,25,FALSE,FALSE,0,TRUE
137,Regen,2,24,0,35,FALSE,30,3,4,0,0,0,FALSE,0,25,58,0,0,5,7,0,0,25,TRUE,FALSE,0,TRUE
138,Divine Seal,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,600,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
139,Holy,2,24,0,45,FALSE,0,3,4,63,488,0,FALSE,25,25,58,0,0,5,7,0,0,25,TRUE,FALSE,0,TRUE
140,Benediction,4,24,0,50,FALSE,30,0,0,0,0,0,TRUE,0,1800,24,0,0,0,0,0,0,25,FALSE,FALSE,0,TRUE
141,Fire,2,7,0,2,FALSE,25,3,8,0,0,0,FALSE,25,25,58,0,0,5,1,0,0,55,TRUE,FALSE,0,TRUE
142,Blizzard,2,7,0,1,FALSE,25,3,4,0,0,0,FALSE,25,25,58,0,0,5,2,0,0,55,TRUE,FALSE,0,TRUE
143,Surecast,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,300,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
144,Thunder,2,7,0,6,FALSE,25,10,3870,63,171,0,FALSE,0,25,58,0,0,5,5,177,0,55,TRUE,FALSE,0,TRUE
145,Sleep,2,-1,0,0,FALSE,30,3,8,0,0,0,FALSE,25,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
146,Blizzard II,2,-1,0,0,FALSE,0,3,8,0,0,0,FALSE,20,25,58,0,0,5,2,0,0,0,TRUE,FALSE,0,FALSE
147,Fire II,2,7,0,18,FALSE,25,3,15,63,462,0,FALSE,30,25,58,0,0,5,1,0,0,55,TRUE,FALSE,0,TRUE
148,Thunder II,2,-1,0,0,FALSE,25,3,12,63,172,0,FALSE,30,25,58,0,0,5,5,4,0,0,TRUE,FALSE,0,FALSE
149,Transpose,4,7,0,4,FALSE,0,0,0,0,0,0,TRUE,0,50,2,0,0,0,0,0,0,55,FALSE,FALSE,0,TRUE
150,Swiftcast,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,600,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
151,Lethargy,4,-1,0,0,FALSE,25,0,0,0,0,0,TRUE,0,300,0,0,0,5,4,0,0,0,FALSE,FALSE,0,FALSE
152,Fire III,2,7,0,35,FALSE,25,3,20,0,0,0,FALSE,35,25,58,0,0,5,1,5,0,55,TRUE,FALSE,0,TRUE
153,Thunder III,2,25,0,45,FALSE,25,10,3870,63,613,0,FALSE,0,25,58,0,0,5,5,177,0,26,TRUE,FALSE,0,TRUE
154,Blizzard III,2,25,0,35,FALSE,25,3,8,0,0,0,FALSE,35,25,58,0,0,5,2,0,0,26,TRUE,FALSE,0,TRUE
155,Aetherial Manipulation,4,7,1,50,FALSE,25,0,0,0,0,0,TRUE,0,100,3,0,0,0,0,0,0,55,FALSE,TRUE,0,TRUE
156,Scathe,2,7,0,15,FALSE,25,3,8,0,0,0,FALSE,0,25,58,0,0,5,7,0,0,55,TRUE,FALSE,0,TRUE
157,Manaward,4,7,0,30,FALSE,0,0,0,0,0,0,TRUE,0,1200,22,0,0,0,0,0,0,55,FALSE,FALSE,0,TRUE
158,Manafont,4,25,0,30,FALSE,0,0,0,49,0,0,TRUE,0,1200,24,0,0,0,0,0,0,26,FALSE,FALSE,0,TRUE
159,Freeze,2,25,0,40,FALSE,25,3,10,48,0,0,FALSE,28,25,58,0,0,5,2,0,0,26,TRUE,FALSE,0,TRUE
160,Apocatastasis,4,-1,0,0,FALSE,30,0,0,0,0,0,TRUE,0,1800,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
161,Manawall,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,1200,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
162,Flare,2,25,0,50,FALSE,25,4,8,49,0,0,FALSE,40,25,58,0,0,5,1,0,0,26,TRUE,FALSE,0,TRUE
163,Ruin,2,26,0,1,FALSE,25,3,3,126,217,0,FALSE,15,25,58,0,0,5,7,0,0,69,TRUE,FALSE,0,TRUE
164,Bio,2,-1,0,0,FALSE,25,3,4,63,175,0,FALSE,0,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
165,Summon,4,-1,0,0,FALSE,0,0,0,100,0,0,FALSE,0,30,4,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
166,Aetherflow,4,28,0,45,FALSE,0,0,0,42,0,0,TRUE,0,600,14,0,0,0,0,0,0,29,FALSE,FALSE,0,TRUE
167,Energy Drain,4,28,0,45,FALSE,25,30,1,0,0,0,TRUE,0,10,4,0,0,5,7,0,0,29,FALSE,FALSE,0,TRUE
168,Miasma,2,-1,0,0,FALSE,25,3,5,63,177,0,FALSE,25,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
169,Virus,4,-1,0,0,FALSE,25,0,0,0,0,0,TRUE,0,900,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
170,Summon II,4,-1,0,0,FALSE,0,0,0,100,0,0,FALSE,0,30,4,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
171,Sustain,2,-1,0,0,FALSE,30,3,5,40,0,0,FALSE,10,25,58,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
172,Ruin II,2,26,0,30,FALSE,25,3,3,126,473,0,FALSE,15,25,58,0,0,5,7,0,0,69,TRUE,FALSE,0,TRUE
173,Resurrection,2,26,0,12,FALSE,30,3,24,0,0,0,FALSE,80,25,58,0,0,5,7,0,0,68,TRUE,FALSE,0,TRUE
174,Bane,4,-1,0,0,FALSE,25,0,0,0,0,0,TRUE,0,100,3,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
175,Eye for an Eye,4,-1,0,0,FALSE,25,0,0,0,0,0,TRUE,0,1800,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
176,Rouse,4,-1,0,0,FALSE,25,0,0,40,0,0,TRUE,0,600,8,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
