Index,Job,Name,Description,Cast,Cooldown
25871,AST,Fall Malefic,Deals unaspected damage with a potency of 270/250/.,1.5,2.5
3614,AST,Essential Dignity,"Restores target's HP.
Cure Potency: 400
Potency increases up to 900 as the target's HP decreases, reaching its maximum value when the target has 30% HP or less./
Maximum Charges: 3/2",0.0,40.0
8324,AST,Stellar Detonation,"While under the effect of Earthly Dominance, detonates the currently deployed Earthly Star, creating a Stellar Burst that deals unaspected damage with a potency of 205 to all nearby enemies.
Additional Effect: Restores own HP and the HP of all nearby party members
Cure Potency: 540
While under the effect of Giant Dominance, detonates the currently deployed Earthly Star, creating a Stellar Explosion that deals unaspected damage with a potency of 310 to all nearby enemies.
Additional Effect: Restores own HP and the HP of all nearby party members
Cure Potency: 720",0.0,3.0
29784,AST,the Arrow,"Reduces weaponskill cast time and recast time, as well as spell cast time and recast time for self or target and nearby party members by 10%, while also increasing movement speed by 25%.
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,1.0
29243,AST,Aspected Benefic,"Restores target's HP.
Cure Potency: 5,000
Potency increases up to 10,000 as the target's HP decreases, reaching its maximum value when the target has 50% HP or less.
Additional Effect: Grants Diurnal Benefic to target
Diurnal Benefic Effect: Gradually restores HP
Cure Potency: 2,000
Duration: 15s
Maximum Charges: 2
This action does not share a recast timer with any other actions.",0.0,15.0
25872,AST,Gravity II,Deals unaspected damage with a potency of 130 to target and all enemies nearby it.,1.5,2.5
25873,AST,Exaltation,"Reduces damage taken by self or target party member by 10%.
Duration: 8s
Additional Effect: Restores HP at the end of the effect's duration
Cure Potency: 500",0.0,60.0
16559,AST,Neutral Sect,"Increases healing magic potency by 20%.
Duration: 20s
Additional Effect: When casting Aspected Benefic or Helios Conjunction/Aspected Helios/Aspected Helios/, erects a magicked barrier which nullifies damage
Aspected Benefic Effect: Nullifies damage equaling 250% of the amount of HP restored Helios Conjunction/Aspected Helios/Aspected Helios/ Effect: Nullifies damage equaling 125% of the amount of HP restored
Duration: 30s/
Additional Effect: Grants Suntouched
Duration: 30s",0.0,120.0
25874,AST,Macrocosmos,"Deals unaspected damage to all nearby enemies with a potency of 250 for the first enemy, and 40% less for all remaining enemies.
Additional Effect: Grants Macrocosmos to self and all nearby party members
Duration: 15s
For the effect's duration, 50% of damage taken is compiled.
Restores HP equal to a cure of 200 potency plus compiled damage when the effect expires or upon execution of Microcosmos.
Amount restored cannot exceed the target's maximum HP.
Recast timer cannot be affected by status effects or gear attributes.",0.0,180.0
25875,AST,Microcosmos,"Triggers the healing effect of Macrocosmos, restoring HP equal to a cure of 200 potency plus 50% of compiled damage.
Amount restored cannot exceed the target's maximum HP.",0.0,1.0
16558,AST,Horoscope,"Restores own HP and the HP of all nearby party members.
Potency is determined by the Horoscope effect of party members. Effect expires upon execution.
Horoscope Potency: 200
Horoscope Helios Potency: 400",0.0,1.0
16556,AST,Celestial Intersection,"Restores own or target party member's HP.
Cure Potency: 200
Additional Sect Effect: Erects a magicked barrier which nullifies damage equaling 200% of the amount of HP restored
Duration: 30s/
Maximum Charges: 2",0.0,30.0
16555,AST,Malefic IV,Deals unaspected damage with a potency of 230.,1.5,2.5
16554,AST,Combust III,"Deals unaspected damage over time.
Potency: 70/65/
Duration: 30s",0.0,2.5
16553,AST,Celestial Opposition,"Restores own HP and the HP of all nearby party members.
Cure Potency: 200
Additional Effect: Regen
Cure Potency: 100
Duration: 15s",0.0,60.0
16552,AST,Divination,"Increases damage dealt by self and nearby party members by 6%.
Duration: 20s/
Additional Effect: Grants Divining
Duration: 30s",0.0,120.0
29783,AST,the Bole,"Reduces damage taken by self or target and nearby party members by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,1.0
3615,AST,Gravity,Deals unaspected damage with a potency of 120 to target and all enemies nearby it.,1.5,2.5
3595,AST,Aspected Benefic,"Restores target's HP.
Cure Potency: 250/200/
Additional Effect: Regen
Cure Potency: 250/200/
Duration: 15s",0.0,2.5
37018,AST,Umbral Draw,"Draws the Spear, the Bole, the Ewer, and the Lady of Crowns/and the Ewer/and the Ewer/ from your divining deck.
Additional Effect: Restores 20% of maximum MP
Upon execution, Play I changes to The Spear, Play II changes to The Bole, Play III changes to The Ewer/, Minor Arcana changes to Lady of Crowns/, and Umbral Draw changes to Astral Draw.
Shares a recast timer with Astral Draw.

※This action cannot be assigned to a hotbar.
※Astral Draw changes to Umbral Draw when requirements for execution are met.",0.0,60.0
7445,AST,Lady of Crowns,"Restores own HP and the HP of all nearby party members.
Cure Potency: 400

※This action cannot be assigned to a hotbar.
※Minor Arcana changes to Lady of Crowns when requirements for execution are met.",0.0,1.0
7444,AST,Lord of Crowns,"Deals unaspected damage with a potency of 400 to all nearby enemies.

※This action cannot be assigned to a hotbar.
※Minor Arcana changes to Lord of Crowns when requirements for execution are met.",0.0,1.0
7442,AST,Malefic III,Deals unaspected damage with a potency of 190.,1.5,2.5
37017,AST,Astral Draw,"Draws the Balance, the Arrow, the Spire, and the Lord of Crowns/and the Spire/and the Spire/ from your divining deck.
Additional Effect: Restores 20% of maximum MP
Upon execution, Play I changes to The Balance, Play II changes to The Arrow, Play III changes to The Spire/, Minor Arcana changes to Lord of Crowns/, and Astral Draw changes to Umbral Draw.
Shares a recast timer with Umbral Draw.",0.0,60.0
7439,AST,Earthly Star,"Deploys an Earthly Star in the designated area and grants the effect of Earthly Dominance.
Duration: 10s
Executing Stellar Detonation while under the effect of Earthly Dominance creates a Stellar Burst dealing unaspected damage with a potency of 205 to all nearby enemies. Also restores own HP and the HP of all nearby party members.
Cure Potency: 540
After 10s, Earthly Dominance effect is changed to Giant Dominance.
Duration: 10s
Waiting 10s or executing Stellar Detonation while under the effect of Giant Dominance creates a Stellar Explosion dealing unaspected damage with a potency of 310 to all nearby enemies. Also restores own HP and the HP of all nearby party members.
Cure Potency: 720",0.0,60.0
29255,AST,Celestial River,"Reduces damage dealt by nearby enemies by 30%. Effect is reduced by 10% every 5 seconds.
Duration: 15s
Additional Effect: Increases damage dealt by self and nearby party members by 30%. Effect is reduced by 10% every 5s.
Duration: 15s
Can only be executed when the limit gauge is full.
Gauge Charge Time: 105s",0.0,10.0
29254,AST,Microcosmos,"Triggers the healing effect of Macrocosmos, restoring HP equal to a cure of 4,000 potency plus 25% of compiled damage.

※This action cannot be assigned to a hotbar.",0.0,1.0
29253,AST,Macrocosmos,"Deals unaspected damage with a potency of 12,000 to all nearby enemies.
Additional Effect: Grants Macrocosmos to self and all nearby party members
Duration: 10s
Action changes to Microcosmos upon execution.
For the effect's duration, 25% of damage taken is compiled.
Restores HP equal to a cure of 4,000 potency plus compiled damage when the effect expires or upon execution of Microcosmos.",0.0,30.0
29242,AST,Fall Malefic,"Deals unaspected damage with a potency of 5,000.",1.5,2.5
29250,AST,the Balance,"Increases damage dealt by self or target and all nearby party members by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,1.0
29249,AST,Draw,"Draws the Balance, the Bole, or the Arrow from your divining deck.
Duration: 15s",0.0,20.0
29248,AST,Gravity II,"Deals unaspected damage with a potency of 8,000 to target and all enemies nearby it.
Additional Effect: Afflicts first target with Bind
Duration: 3s

※This action cannot be assigned to a hotbar.",0.0,15.0
29246,AST,Fall Malefic,"Deals unaspected damage with a potency of 5,000.
Additional Effect: Reduces the recast time of Double Cast by 10 seconds

※This action cannot be assigned to a hotbar.",0.0,15.0
29245,AST,Double Cast,"Repeats the spell you previously cast.
Maximum Charges: 2
Can only be executed following a spell.",0.0,15.0
29247,AST,Aspected Benefic,"Restores target's HP.
Cure Potency: 5,000
Potency increases up to 10,000 as the target's HP decreases, reaching its maximum value when the target has 50% HP or less.
Additional Effect: Grants Nocturnal Benefic to target
Nocturnal Benefic Effect: Erects a magicked barrier which nullifies damage equivalent to a heal of 5,000 potency
Duration: 15s

※This action cannot be assigned to a hotbar.",0.0,15.0
37031,AST,Sun Sign,"Reduces damage taken by self and nearby party members by 10%.
Duration: 15s
Can only be executed while Suntouched.",0.0,1.0
37019,AST,Play I,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to The Balance
Umbral Draw Effect: Action changes to The Spear",0.0,1.0
37020,AST,Play II,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to The Arrow
Umbral Draw Effect: Action changes to The Bole",0.0,1.0
37021,AST,Play III,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to The Spire
Umbral Draw Effect: Action changes to The Ewer",0.0,1.0
37022,AST,Minor Arcana,"Plays the drawn arcanum after executing Astral Draw or Umbral Draw.
Astral Draw Effect: Action changes to Lord of Crowns
Umbral Draw Effect: Action changes to Lady of Crowns",0.0,1.0
37023,AST,the Balance,"Increases damage dealt by a party member or self by 6% if target is melee DPS or tank, or 3% for all other roles.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play I changes to The Balance when requirements for execution are met.",0.0,1.0
29244,AST,Gravity II,"Deals unaspected damage with a potency of 8,000 to target and all enemies nearby it.
Additional Effect: Afflicts first target with Heavy +75%
Duration: 5s
This action does not share a recast timer with any other actions.",0.0,15.0
37025,AST,the Spire,"Creates a barrier around self or target party member that absorbs damage equivalent to a heal of 400 potency.
Duration: 30s

※This action cannot be assigned to a hotbar.
※Play III changes to The Spire when requirements for execution are met.",0.0,1.0
37024,AST,the Arrow,"Increases HP recovery via healing actions for a party member or self by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play II changes to The Arrow when requirements for execution are met.",0.0,1.0
37027,AST,the Bole,"Reduces damage taken by a party member or self by 10%.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play II changes to The Bole when requirements for execution are met.",0.0,1.0
37028,AST,the Ewer,"Grants healing over time effect to a party member or self.
Cure Potency: 200
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play III changes to The Ewer when requirements for execution are met.",0.0,1.0
37029,AST,Oracle,"Deals unaspected damage with a potency of 860 to target and all enemies nearby it.
Can only be executed while Divining.",0.0,1.0
37030,AST,Helios Conjunction,"Restores own HP and the HP of all nearby party members.
Cure Potency: 250
Additional Effect: Regen
Cure Potency: 175
Duration: 15s",1.5,2.5
37026,AST,the Spear,"Increases damage dealt by a party member or self by 6% if target is ranged DPS or healer, or 3% for all other roles.
Duration: 15s

※This action cannot be assigned to a hotbar.
※Play I changes to The Spear when requirements for execution are met.",0.0,1.0
7419,BLM,Between the Lines,"Move instantly to Ley Lines drawn by you.
Cannot be executed while bound.",0.0,3.0
25793,BLM,Blizzard II,"Deals ice damage with a potency of 80 to target and all enemies nearby it.
Additional Effect: Grants Umbral Ice III and/Grants Umbral Ice III and/Grants Umbral Ice or/Grants Umbral Ice or/ removes Astral Fire
Duration: 15s",3.0,2.5
7420,BLM,Thunder IV,"Deals lightning damage with a potency of 80 to target and all enemies nearby it.
Additional Effect: Lightning damage over time
Potency: 35
Duration: 21s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
7422,BLM,Foul,"Deals unaspected damage to target and all enemies nearby it with a potency of 600 for the first enemy, and 60% less for all remaining enemies.
Polyglot Cost: 1",2.5,2.5
16507,BLM,Xenoglossy,"Deals unaspected damage with a potency of 880.
Polyglot Cost: 1",0.0,2.5
7421,BLM,Triplecast,"The next three spells will require no cast time.
Duration: 15s
Maximum Charges: 2",0.0,60.0
29663,BLM,Paradox,"Deals unaspected damage with a potency of 8,000.
Additional Effect: Increases target's stacks of Astral Warmth or Umbral Freeze to maximum
Duration: 15s
This action does not share a recast timer with any other actions.",0.0,15.0
29654,BLM,Blizzard IV,"Deals ice damage with a potency of 6,000.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Additional Effect: Grants Umbral Ice III
Duration: 30s
Effect cannot be stacked with Astral Fire.
Can only be executed while under the effect of Umbral Ice II.

※Action changes to Freeze while under the effect of Umbral Ice III.
※This action cannot be assigned to a hotbar.",1.5,2.5
29661,BLM,Superflare,"Deals damage to nearby enemies with a potency of 3,000 up to a maximum of 9,000 for every stack of Astral Warmth or Umbral Freeze they have accumulated.
Additional Effect: Enemies under the effect of Astral Warmth are afflicted with Burns, dealing fire damage over time
Potency: 3,000
Duration: 6s
Duration increases by 3s for each additional stack of Astral Warmth, up to a maximum of 12s.
Additional Effect: Enemies under the effect of Umbral Freeze are afflicted with a status ailment commensurate with the number of stacks accumulated
1 Stack: Heavy
2 Stacks: Bind
3 Stacks: Deep Freeze
Duration: 2s
Maximum Charges: 2",0.0,15.0
16506,BLM,Umbral Soul,"Grants Umbral Ice and 1 Umbral Heart.
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells and reduces MP cost for Flare by one-third
Additional Effect: Restores an amount of MP commensurate with your stacks of Umbral Ice
Umbral Ice I: 2,500 MP
Umbral Ice II: 5,000 MP
Umbral Ice III: 10,000 MP
Can only be executed while under the effect of Umbral Ice.",0.0,2.5
3577,BLM,Fire IV,"Deals fire damage with a potency of 310. Additional Effect: Grants Astral Soul
Effect ends when Astral Fire expires. Can only be executed while under the effect of Astral Fire.",2.8,2.5
3576,BLM,Blizzard IV,"Deals ice damage with a potency of 310.
Additional Effect: Grants 3 Umbral Hearts
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells and reduces MP cost for Flare by one-third
Can only be executed while under the effect of Umbral Ice.",2.5,2.5
3573,BLM,Ley Lines,"Connects naturally occurring ley lines to create a circle of power which, while standing within it, reduces spell cast time and recast time, and auto-attack delay by 15%.
Duration: 30s",0.0,120.0
29371,BLM,Foul,"Deals unaspected damage with a potency of 16,000 to target and all enemies nearby it.
Can only be executed while under the effect of Polyglot.

※This action cannot be assigned to a hotbar.",0.0,2.5
25795,BLM,High Blizzard II,"Deals ice damage with a potency of 100 to target and all enemies nearby it.
Additional Effect: Grants Umbral Ice III and removes Astral Fire
Duration: 15s",3.0,2.5
25796,BLM,Amplifier,"Grants Polyglot.
Can only be executed while under the effect of Astral Fire or Umbral Ice.",0.0,120.0
25797,BLM,Paradox,"Deals unaspected damage with a potency of 500.
Additional Effect: Grants Astral Fire
Duration: 15s
Additional Effect: Grants Firestarter
Firestarter Effect: Next Fire III will require no time to cast and cost no MP
Duration: 30s
Can only be executed while under the effect of Paradox.

※This action cannot be assigned to a hotbar.
※Fire changes to Paradox when requirements for execution are met.",0.0,2.5
7447,BLM,Thunder II,"Deals lightning damage with a potency of 60 to target and all enemies nearby it.
Additional Effect: Lightning damage over time
Potency: 30
Duration: 18s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
29649,BLM,Fire,"Deals fire damage with a potency of 4,000.
Requires no cast time when cast under the effect of Umbral Ice.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Additional Effect: Grants Astral Fire II
Duration: 30s
Effect cannot be stacked with Umbral Ice.

※Action changes to Fire IV while under the effect of Astral Fire II.",1.5,2.5
29650,BLM,Fire IV,"Deals fire damage with a potency of 6,000.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Additional Effect: Grants Astral Fire III
Duration: 30s
Effect cannot be stacked with Umbral Ice.
Can only be executed while under the effect of Astral Fire II.

※Action changes to Flare while under the effect of Astral Fire III.
※This action cannot be assigned to a hotbar.",1.5,2.5
29651,BLM,Flare,"Deals fire damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Can only be executed while under the effect of Astral Fire III.
Astral Fire III effect expires upon execution.

※This action cannot be assigned to a hotbar.",1.5,2.5
29652,BLM,Flare,"Deals fire damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Astral Warmth, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Umbral Freeze.
Can only be executed while under the effect of Soul Resonance.

※This action cannot be assigned to a hotbar.",0.0,2.5
29653,BLM,Blizzard,"Deals ice damage with a potency of 4,000.
Requires no cast time when cast under the effect of Astral Fire.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Additional Effect: Grants Umbral Ice II
Duration: 30s
Effect cannot be stacked with Astral Fire.

※Action changes to Blizzard IV while under the effect of Umbral Ice II.",1.5,2.5
29655,BLM,Freeze,"Deals ice damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Can only be executed while under the effect of Umbral Ice III.
Umbral Ice III effect expires upon execution.

※This action cannot be assigned to a hotbar.",1.5,2.5
29656,BLM,Freeze,"Deals ice damage with a potency of 12,000 to target and 8,000 to all enemies nearby it.
Additional Effect: Afflicts target with a stack of Umbral Freeze, up to a maximum of 3
Duration: 15s
Effect cannot be stacked with Astral Warmth.
Can only be executed while under the effect of Soul Resonance.

※This action cannot be assigned to a hotbar.",0.0,2.5
29657,BLM,Burst,"Deals lightning damage to all nearby enemies with a potency of 16,000.
Additional Effect: Creates a barrier around self that absorbs damage equivalent to a heal of 16,000 potency
Duration: 10s
This action does not share a recast timer with any other actions.",2.0,20.0
29659,BLM,Night Wing,"Afflicts target and all enemies nearby it with Half-asleep.
Duration: 3s
Half-asleep Effect: Targets succumb to Sleep when effect expires
Duration: 3s
Targets struck while under the effect of Sleep will take additional damage with a potency of 8,000, and effect will dissipate.",0.0,30.0
29660,BLM,Aetherial Manipulation,"Rush to a targeted enemy's or party member's location.
Additional Effect: Grants Swiftcast
Swiftcast Effect: Next spell can be cast immediately
Duration: 10s
Maximum Charges: 2
Cannot be executed while bound.",0.0,10.0
29662,BLM,Soul Resonance,"Grants 6 stacks of Soul Resonance, upgrading Fire to Flare and Blizzard to Freeze.
Duration: 30s
Additional Effect: Grants Polyglot and Apocatastasis
Polyglot Effect: Action changes to Foul
Duration: 60s
Apocatastasis Effect: Reduces damage taken by 10%
Duration: 15s
Additional Effect: Reduces the recast time of Superflare by 15 seconds
Can only be executed when the limit gauge is full.
Gauge Charge Time: 60s",0.0,10.0
16505,BLM,Despair,"Deals fire damage with a potency of 340.
Additional Effect: Grants Astral Fire III
Duration: 15s
Can only be executed while under the effect of Astral Fire.",3.0,2.5
25794,BLM,High Fire II,"Deals fire damage with a potency of 100 to target and all enemies nearby it.
Additional Effect: Grants Astral Fire III and removes Umbral Ice
Duration: 15s",3.0,2.5
36987,BLM,High Thunder II,"Deals lightning damage with a potency of 100 to target and all enemies nearby it.
Additional Effect: Lightning damage over time
Potency: 40
Duration: 24s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
144,BLM,Thunder,"Deals lightning damage with a potency of 120.
Additional Effect: Lightning damage over time
Potency: 40
Duration: 24s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
152,BLM,Fire III,"Deals fire damage with a potency of 280.
Additional Effect: Grants Astral Fire III and removes Umbral Ice
Duration: 15s",3.5,2.5
153,BLM,Thunder III,"Deals lightning damage with a potency of 160.
Additional Effect: Lightning damage over time
Potency: 45
Duration: 27s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
154,BLM,Blizzard III,"Deals ice damage with a potency of 280.
Additional Effect: Grants Umbral Ice III and removes Astral Fire
Duration: 15s",3.5,2.5
155,BLM,Aetherial Manipulation,"Rush to a target party member's side.
Unable to cast if bound.",0.0,10.0
141,BLM,Fire,"Deals fire damage with a potency of 180.
Additional Effect: Grants Astral Fire or removes Umbral Ice
Duration: 15s Additional Effect: 40% chance to grant Firestarter
Firestarter Effect: Next Fire III will cost no MP and have no cast time
Duration: 30s/Additional Effect: 40% chance to grant Firestarter
Firestarter Effect: Next Fire III will cost no MP and have no cast time
Duration: 30s",2.5,2.5
36986,BLM,High Thunder,"Deals lightning damage with a potency of 200.
Additional Effect: Lightning damage over time
Potency: 55
Duration: 30s
Can only be cast while under the effect of Thunderhead, granted when gaining Astral Fire or Umbral Ice from an unaspected state, or changing between their influences.
Thunderhead Duration: 30s
Only one Thunder spell-induced damage over time effect per caster can be inflicted upon a single target.",0.0,2.5
147,BLM,Fire II,"Deals fire damage with a potency of 80 to target and all enemies nearby it.
Additional Effect: Grants Astral Fire III and removes Umbral Ice/Grants Astral Fire III and removes Umbral Ice/Grants Astral Fire or removes Umbral Ice/Grants Astral Fire or removes Umbral Ice/
Duration: 15s",3.0,2.5
149,BLM,Transpose,"Swaps Astral Fire with a single Umbral Ice, or Umbral Ice with a single Astral Fire.",0.0,5.0
36989,BLM,Flare Star,"Deals fire damage to target and all enemies nearby it with a potency of 400 for the first enemy, and 65% less for all remaining enemies.
Can only be executed when the Astral Gauge is full.",3.0,2.5
162,BLM,Flare,"Deals fire damage to target and all enemies nearby it with a potency of 240 for the first enemy, and 40% less for all remaining enemies.
Additional Effect: Grants Astral Fire III
Duration: 15s Additional Effect: Grants 3 stacks of Astral Soul
Effect ends when Astral Fire expires. Can only be executed while under the effect of Astral Fire.",4.0,2.5
142,BLM,Blizzard,"Deals ice damage with a potency of 180.
Additional Effect: Grants Umbral Ice or removes Astral Fire
Duration: 15s",2.5,2.5
156,BLM,Scathe,"Deals unaspected damage with a potency of 100.
Additional Effect: 20% chance potency will double",0.0,2.5
157,BLM,Manaward,"Creates a barrier that nullifies damage totaling up to 30% of maximum HP.
Duration: 20s",0.0,120.0
158,BLM,Manafont,"Fully restores MP.
Additional Effect: Grants Astral Fire III
Duration: 15s
Additional Effect: Grants Thunderhead
Duration: 30s Additional Effect: Grants 3 Umbral Hearts
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells Additional Effect: Grants Paradox Can only be executed while under the effect of Astral Fire.",0.0,120.0
159,BLM,Freeze,"Deals ice damage with a potency of 120 to target and all enemies nearby it. Additional Effect: Grants 3 Umbral Hearts
Umbral Heart Bonus: Nullifies Astral Fire's MP cost increase for Fire spells and reduces MP cost for Flare by one-third Can only be executed while under the effect of Umbral Ice.",2.8,2.5
36988,BLM,Retrace,"Weave ley lines anew, setting your circle of power at a new location.
Can only be executed while under the effect of Ley Lines.",0.0,40.0
11405,BLU,Missile,"Deals damage equal to 50% of target's current HP.
Chance of successful attack is low. Has no effect on enemies whose level is higher than your own.",2.0,2.5
23266,BLU,Tatami-gaeshi,"Deals unaspected damage to all enemies in a straight line before you with a potency of 220 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Stun
Duration: 3s",2.0,2.5
23265,BLU,Tingle,"Deals lightning damage to target and all enemies nearby it with a potency of 100 for the first enemy, and 50% less for all remaining enemies.
Additional Effect: Increases the potency of the next physical damage spell cast by 100
Duration: 15s",2.0,2.5
23267,BLU,Cold Fog,"Grants Cold Fog to self.
Duration: 5s
Effect changes to Touch of Frost if damage is taken.
Touch of Frost Effect: Action changes from Cold Fog to White Death
Duration: 15s

White Death
Deals ice damage with a potency of 400.
Additional Effect: Deep Freeze
Duration: 10s
Can only be executed while under the effect of Touch of Frost.",2.0,90.0
23264,BLU,Triple Trident,"Delivers a threefold attack, each hit with a potency of 150.
This action does not share a recast timer with any other actions.",2.0,90.0
18299,BLU,Kaltstrahl,"Deals physical damage to all enemies in a cone before you with a potency of 220 for the first enemy, and 50% less for all remaining enemies.",2.0,2.5
18301,BLU,Chirp,"Puts all nearby enemies to sleep.
Duration: 40s
Cancels auto-attack upon execution.",2.0,2.5
23268,BLU,White Death,"Deals ice damage with a potency of 400.
Additional Effect: Deep Freeze
Duration: 10s
Can only be executed while under the effect of Touch of Frost.",0.0,2.5
18318,BLU,Exuviation,"Restores own HP and the HP of all nearby party members.
Cure Potency: 50
Additional Effect: Removes one detrimental effect from all nearby party members
Cure potency is increased to 300 when you are under the effect of Aetheric Mimicry: Healer.",2.0,2.5
18317,BLU,Angel Whisper,"Resurrects target to a weakened state.
This action does not share a recast timer with any other actions.",10.0,300.0
18316,BLU,Revenge Blast,"Deals physical damage with a potency of 50.
Potency is increased to 500 when your HP is below 20%.",2.0,2.5
18315,BLU,Cactguard,"Reduces target party member's damage taken by 5%.
Duration: 6s
Increases damage reduction to 15% when you are under the effect of Aetheric Mimicry: Tank.",1.0,2.5
18314,BLU,Perpetual Ray,"Deals unaspected damage with a potency of 220.
Additional Effect: Stun
Duration: 1s
Ignores target's Stun resistance.",3.0,2.5
18313,BLU,Launcher,"Delivers an attack to all nearby enemies randomly dealing 50%, 30%, 20%, or 10% of their HP.
Has no effect on enemies whose level is higher than your own.",2.0,2.5
18312,BLU,Level 5 Death,"KOs all nearby enemies.
Chance of successful attack is low.
Enemy level must be a multiple of 5. Has no effect on enemies whose level is higher than your own.
Shares a recast timer with Ultravibration.",2.0,180.0
